bin,python,vulkan,diff,rel_diff
101,5.1002861866e-03,5.0708000000e-03,2.9486186554e-05,5.7812807890e-03
102,5.9976101239e-03,5.9113800000e-03,8.6230123869e-05,1.4377414016e-02
103,3.2076317272e-03,3.2074600000e-03,1.7172717565e-07,5.3537061047e-05
104,2.0569312596e-03,2.0570800000e-03,-1.4874038985e-07,-7.2311794125e-05
105,6.0693287298e-03,5.9827800000e-03,8.6548729838e-05,1.4260016828e-02
106,6.5052381110e-03,6.5053000000e-03,-6.1889011194e-08,-9.5137195792e-06
107,3.9218668065e-03,3.8922600000e-03,2.9606806550e-05,7.5491616627e-03
108,1.0691888257e-04,1.0687000000e-04,4.8882567691e-08,4.5719302391e-04
109,4.3036328000e-03,4.3036200000e-03,1.2800011429e-08,2.9742340997e-06
110,7.3159186660e-03,7.2699200000e-03,4.5998665950e-05,6.2874763983e-03
111,7.2775165879e-03,7.2773400000e-03,1.7658787754e-07,2.4264854004e-05
112,3.2129047796e-03,3.2126400000e-03,2.6477956356e-07,8.2411270063e-05
113,3.0497578896e-03,3.0499000000e-03,-1.4211042486e-07,-4.6597280820e-05
114,7.8009780406e-03,7.7141500000e-03,8.6828040635e-05,1.1130404440e-02
115,8.7408691436e-03,8.7407800000e-03,8.9143573282e-08,1.0198479328e-05
116,6.1184182546e-03,6.0806300000e-03,3.7788254553e-05,6.1761476536e-03
117,1.3964584369e-03,1.3965800000e-03,-1.2156308661e-07,-8.7050987923e-05
118,3.9761252629e-03,3.9760700000e-03,5.5262919449e-08,1.3898686732e-05
119,8.5946351708e-03,8.5946300000e-03,5.1708255785e-09,6.0163409791e-07
120,1.0590465803e-02,1.0590400000e-02,6.5802981090e-08,6.2134170780e-06
121,8.2629297701e-03,8.2628500000e-03,7.9770113043e-08,9.6539744682e-06
122,1.7978633535e-03,1.7977800000e-03,8.3353499296e-08,4.6362533108e-05
123,5.9346321369e-03,5.9053200000e-03,2.9312136914e-05,4.9391666126e-03
124,1.1407064619e-02,1.1407100000e-02,-3.5381143248e-08,-3.1016869306e-06
125,1.2448067491e-02,1.2361800000e-02,8.6267490520e-05,6.9301914196e-03
126,9.1995893132e-03,9.1997200000e-03,-1.3068680027e-07,-1.4205721125e-05
127,3.1349941316e-03,3.1233100000e-03,1.1684131646e-05,3.7270027158e-03
128,4.1954227981e-03,4.1943400000e-03,1.0827980974e-06,2.5809034017e-04
129,1.1084630253e-02,1.1067200000e-02,1.7430252806e-05,1.5724703853e-03
130,1.5441931120e-02,1.5386900000e-02,5.5031119848e-05,3.5637459731e-03
131,1.5115963357e-02,1.5017400000e-02,9.8563357184e-05,6.5204813513e-03
132,9.1587586314e-03,9.0595100000e-03,9.9248631439e-05,1.0836471996e-02
133,9.5626178062e-04,9.8430100000e-04,-2.8039219377e-05,-2.9321698217e-02
134,1.1589944673e-02,1.1589700000e-02,2.4467341263e-07,2.1110835255e-05
135,1.8884862328e-02,1.8789600000e-02,9.5262328221e-05,5.0443750428e-03
136,2.0584448078e-02,2.0584300000e-02,1.4807761922e-07,7.1936647829e-06
137,1.6495756458e-02,1.6449100000e-02,4.6656458241e-05,2.8283915537e-03
138,7.7383584041e-03,7.7197200000e-03,1.8638404080e-05,2.4085733827e-03
139,3.8873091425e-03,3.8873500000e-03,-4.0857543282e-08,-1.0510494991e-05
140,1.6075286601e-02,1.6075300000e-02,-1.3398750925e-08,-8.3349997149e-07
141,2.5960516102e-02,2.5960500000e-02,1.6101846714e-08,6.2024370586e-07
142,3.0320168590e-02,3.0320000000e-02,1.6859047672e-07,5.5603410059e-06
143,2.6591404495e-02,2.6591200000e-02,2.0449514007e-07,7.6902722495e-06
144,1.4318181195e-02,1.4226000000e-02,9.2181195121e-05,6.4380520025e-03
145,4.3608235674e-03,4.3842800000e-03,-2.3456432594e-05,-5.3788997022e-03
146,2.4862528110e-02,2.4863000000e-02,-4.7188998974e-07,-1.8979968072e-05
147,4.1911527132e-02,4.1818800000e-02,9.2727131979e-05,2.2124493742e-03
148,5.1027812399e-02,5.1027800000e-02,1.2398883600e-08,2.4298285616e-07
149,4.9273333399e-02,4.9209500000e-02,6.3833398947e-05,1.2954958502e-03
150,3.5169651959e-02,3.5135200000e-02,3.4451959417e-05,9.7959341355e-04
151,8.5770316648e-03,8.5776500000e-03,-6.1833521775e-07,-7.2091982616e-05
152,2.9242948661e-02,2.9242400000e-02,5.4866130628e-07,1.8762174520e-05
153,7.5475144027e-02,7.5474800000e-02,3.4402717593e-07,4.5581519632e-06
154,1.2551853973e-01,1.2551800000e-01,5.3973035807e-07,4.3000050768e-06
155,1.7344072895e-01,1.7344100000e-01,-2.7105206199e-07,-1.5627936047e-06
156,2.1308346418e-01,2.1308300000e-01,4.6417860738e-07,2.1783886853e-06
157,2.3946676601e-01,2.3946700000e-01,-2.3398808174e-07,-9.7712131683e-07
158,2.4991578474e-01,2.4986900000e-01,4.6784740223e-05,1.8720202196e-04
159,2.4402350215e-01,2.4402300000e-01,5.0214731431e-07,2.0577825902e-06
160,2.2360744380e-01,2.2367800000e-01,-7.0556195936e-05,-3.1553598903e-04
161,1.9153017736e-01,1.9153100000e-01,-8.2263740636e-07,-4.2950798547e-06
162,1.5121859457e-01,1.5131600000e-01,-9.7405432328e-05,-6.4413660639e-04
163,1.0642463448e-01,1.0642500000e-01,-3.6552162418e-07,-3.4345584175e-06
164,6.0928570015e-02,6.0966700000e-02,-3.8129985260e-05,-6.2581454399e-04
165,1.8785133911e-02,1.8801900000e-02,-1.6766089084e-05,-8.9251900797e-04
166,1.6235355442e-02,1.6232500000e-02,2.8554424428e-06,1.7587803684e-04
167,4.1211503135e-02,4.1222100000e-02,-1.0596865421e-05,-2.5713367906e-04
168,5.4686842479e-02,5.4686800000e-02,4.2478867320e-08,7.7676577022e-07
169,5.7135290429e-02,5.7194200000e-02,-5.8909571300e-05,-1.0310540273e-03
170,5.0509685716e-02,5.0592900000e-02,-8.3214283722e-05,-1.6474916155e-03
171,3.7832995632e-02,3.7921500000e-02,-8.8504367591e-05,-2.3393433723e-03
172,2.2223997509e-02,2.2224000000e-02,-2.4906782053e-09,-1.1207156607e-07
173,6.2720188796e-03,6.2718200000e-03,1.9887956492e-07,3.1709018852e-05
174,8.2618679290e-03,8.2548100000e-03,7.0579290358e-06,8.5427763983e-04
175,2.0145186397e-02,2.0145300000e-02,-1.1360312751e-07,-5.6392194775e-06
176,2.8730554195e-02,2.8807200000e-02,-7.6645804782e-05,-2.6677454343e-03
177,3.3505191085e-02,3.3505300000e-02,-1.0891503484e-07,-3.2506913499e-06
178,3.4015601422e-02,3.4114200000e-02,-9.8598577628e-05,-2.8986280854e-03
179,3.0208939057e-02,3.0208600000e-02,3.3905694954e-07,1.1223729138e-05
180,2.2345373463e-02,2.2345000000e-02,3.7346288840e-07,1.6713208620e-05
181,1.1539482402e-02,1.1566400000e-02,-2.6917597639e-05,-2.3326520807e-03
182,5.1032677379e-04,4.9929800000e-04,1.1028773787e-05,2.1611199591e-02
183,1.1788084760e-02,1.1791100000e-02,-3.0152396814e-06,-2.5578707165e-04
184,2.0471420591e-02,2.0489600000e-02,-1.8179408624e-05,-8.8803845058e-04
185,2.5387324052e-02,2.5427000000e-02,-3.9675948492e-05,-1.5628251489e-03
186,2.6282681415e-02,2.6345500000e-02,-6.2818585352e-05,-2.3901132597e-03
187,2.3767005849e-02,2.3841600000e-02,-7.4594151192e-05,-3.1385590454e-03
188,1.8974247719e-02,1.8974100000e-02,1.4771893005e-07,7.7852325022e-06
189,1.3104521860e-02,1.3105100000e-02,-5.7813975075e-07,-4.4117576884e-05
190,7.0435496621e-03,7.0608900000e-03,-1.7340337936e-05,-2.4618748735e-03
191,1.3574110454e-03,1.3369900000e-03,2.0421045449e-05,1.5044113206e-02
